,name,id
0,Ingenious Film Partners,289
1,Twentieth Century Fox Film Corporation,306
2,Dune Entertainment,444
3,Lightstorm Entertainment,574
4,Walt Disney Pictures,2
5,Jerry Bruckheimer Films,130
6,Second Mate Productions,19936
7,Columbia Pictures,5
8,Danjaq,10761
9,B24,69434
10,Legendary Pictures,923
11,Warner Bros.,6194
12,DC Entertainment,9993
13,Syncopy,9996
14,Laura Ziskin Productions,326
15,Marvel Enterprises,19551
16,Walt Disney Animation Studios,6125
17,Marvel Studios,420
18,Prime Focus,15357
19,Revolution Sun Studios,76043
20,Heyday Films,7364
21,DC Comics,429
22,Atlas Entertainment,507
23,Cruel & Unusual Films,9995
24,RatPac-Dune Entertainment,41624
25,Bad Hat Harry Productions,9168
26,Eon Productions,7576
27,Infinitum Nihil,2691
28,Silver Bullet Productions (II),37380
29,Blind Wink Productions,37381
30,Classic Media,37382
31,Cruel and Unusual Films,78685
32,Walt Disney,5888
33,Walden Media,10221
34,Stillking Films,11345
35,Ozumi Films,11440
36,Propeler,11441
37,Silverbell Films,11442
38,Paramount Pictures,4
39,Moving Picture Company (MPC),20478
40,Amblin Entertainment,56
41,Media Magik Entertainment,5627
42,Imagenation Abu Dhabi FZ,6736
43,Hemisphere Media Capital,9169
44,Parkes/MacDonald Productions,11084
45,WingNut Films,11
46,New Line Cinema,12
47,Warner Bros. Pictures,174
48,3Foot7,7413
49,Metro-Goldwyn-Mayer (MGM),8411
50,Marvel Entertainment,7505
51,Imagine Entertainment,23
52,Universal Pictures,33
53,Scott Free Productions,1645
54,Relativity Media,7295
55,Depth of Field,1473
56,Scholastic Productions,1938
57,Big Primate Pictures,68
58,MFPV Film,69
59,Studio Babelsberg,264
60,Walt Disney Studios Motion Pictures,3036
61,Vita-Ray Dutch Productions (III),84424
62,Deluxe Digital Studios,84425
63,Hasbro,2598
64,Bluegrass Films,13778
65,Film 44,20153
66,Universal Studios,13
67,Fuji Television Network,3341
68,Dentsu,6452
69,Team Todd,598
70,Tim Burton Productions,8601
71,Roth Films,16314
72,"Zanuck Company, The",20004
73,Donners' Company,431
74,Major Studio Partners,445
75,thinkfilm,12247
76,X3 Canada Productions,79028
77,X3US Productions,79029
78,XM3 Service,79030
79,Pixar Animation Studios,3
80,DreamWorks SKG,27
81,Di Bonaventura Pictures,435
82,Platinum Dunes,2481
83,Hasbro Studios,22826
84,China Movie Channel,11413
85,Ian Bryce Productions,38833
86,Avi Arad Productions,31828
87,Matt Tolmach Productions,53462
88,LivePlanet,7161
89,Prana Studios,18713
90,Sean Bailey Productions,23791
91,Kontsept Film Company,76067
92,De Line Pictures,2609
93,The Halcyon Company,4021
94,Wonderland Sound and Vision,4022
95,Original Film,333
96,One Race Films,7154
97,China Film Co.,40890
98,Québec Production Services Tax Credit,86352
99,Media Rights Capital (MRC),86655
100,Abu Dhabi Film Commission,87857
101,"Colorado Office of Film, Television & Media",87858
102,GK Films,3281
103,Skydance Productions,6277
104,Apparatus Productions,11956
105,Latina Pictures,19108
106,2DUX²,23644
107,TSG Entertainment,22213
108,Down Productions,37336
109,Bad Robot,11461
110,Kurtzman/Orci,12536
111,Big Kid Pictures,8406
112,Village Roadshow Pictures,79
113,Bazmark Films,240
114,A&E Television Networks,11858
115,Red Wagon Entertainment,14440
116,Spectrum Films,14604
117,Disney Double Dare You (DDY),19750
118,Indochina Productions,19751
119,Lucasfilm,1
120,Perfect Storm Entertainment,34530
121,Alibaba Pictures Group,69484
122,Skydance Media,82819
123,Sneaky Shark,83644
124,Huahua Media,83645
125,FortyFour Studios,93408
126,Centropolis Entertainment,347
127,The Mark Gordon Company,1557
128,Farewell Productions,10905
129,ImageMovers,11395
130,Anarchos Productions,450
131,Dark Horse Entertainment,552
132,Jerry Weintraub Productions,2596
133,Beagle Pug Films,46339
134,Riche Productions,86565
135,Village Roadshow Films North America,86566
136,Kinberg Genre,78091
137,DreamWorks Animation,521
138,"Todman, Simon, LeMasters Productions",2507
139,Peters Entertainment,16774
140,Sonnenfeld Josephson Worldwide Entertainment,57088
141,China Film Co-Production Corporation,2269
142,Alphaville Films,11462
143,"Sommers Company, The",19643
144,Spyglass Entertainment,158
145,Shady Acres Entertainment,159
146,Playtone,4171
147,Viz Media,6687
148,Province of British Columbia Production Services Tax Credit,12200
149,3 Arts Entertainment,36390
150,Gordon Company,1073
151,Davis Entertainment,1302
152,Licht/Mueller Film Corporation,6092
153,Fairview Entertainment,7297
154,Ingenious Media,290
155,Chernin Entertainment,7076
156,Corsan,7299
157,Bliss Media,8186
158,Limelight International Media Entertainment,8187
159,Neelmudra Entertainment,8188
160,Aristos Films,76098
161,Singularity Productions,76099
162,Wildkite,76100
163,Mid Atlantic Films,2735
164,Stuber Productions,4403
165,Universal,6292
166,H2F Entertainment,20851
167,Babieka,20656
168,A113,59778
169,Golden Mean,1867
170,Stereo D,86561
171,Vertigo Entertainment,829
172,Mad Hatter Entertainment,20154
173,Intermedia Films,763
174,C-2 Pictures,7340
175,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,19116
176,Mostow/Lieberman Productions,23636
177,Bulletproof Cupid,54850
178,Lynda Obst Productions,13769
179,Cine Bazar,5896
180,Toho Pictures,49301
181,Ardustry Entertainment,26281
182,Mediastream Film GmbH & Co. Productions KG,26282
183,"Kennedy/Marshall Company, The",7383
184,Dune Entertainment III,6332
185,Big Screen Productions,10893
186,Lionsgate,1632
187,Color Force,5420
188,Saturn Films,831
189,Broken Road Productions,8000
190,Junction Entertainment,19097
191,Virtual Studios,449
192,Next Entertainment,1633
193,Irwin Allen Productions,14024
194,Radiant Productions,18990
195,Synthesis Entertainment,19943
